70.68|356.25|91.32
70.39|354.47|91.97
71.07|355.16|91.67
71.46|348.11|94.04
71.07|356.12|91.33
70.37|356.25|91.34
70.68|354.38|91.97
70.47|360.00|90.00
70.86|6.77|87.64
70.47|36.42|75.34
70.47|359.06|90.33
71.16|358.03|90.67
71.67|353.77|92.07
70.47|10.22|86.34
70.47|359.06|90.33
70.96|348.50|94.01
71.07|358.06|90.67
71.16|352.15|92.69
70.96|355.16|91.67
70.86|354.19|92.02
71.57|358.99|90.34
71.16|358.03|90.67
73.11|358.88|90.34
70.96|360.00|90.00
71.26|12.63|85.65
71.07|10.56|86.34
69.94|2.64|89.03
70.26|0.94|89.66
71.26|356.05|91.34
71.26|348.31|94.01
