-0.24|0.04|10.24|-13.09|-62.64|-102.45|-0.02|0.18|0.01|100.83|24.70|40.96
-0.16|-0.04|10.16|-12.91|-62.91|-102.55|-0.03|0.19|0.01|100.84|24.70|40.79
-0.24|-0.08|10.20|-12.91|-62.73|-102.14|-0.02|0.19|0.01|100.84|24.70|40.71
-0.20|-0.08|10.28|-13.27|-62.64|-102.45|-0.02|0.18|0.01|100.84|24.70|40.63
-0.35|-0.08|10.12|-13.09|-62.82|-102.45|-0.02|0.19|0.01|100.84|24.70|40.71
-0.27|-0.04|10.32|-12.91|-62.91|-102.24|-0.02|0.18|0.01|100.85|24.70|39.96
-0.31|-0.08|10.28|-13.27|-62.64|-102.65|-0.02|0.18|0.01|100.84|24.70|40.13
-0.35|-0.04|10.51|-13.00|-62.64|-102.65|-0.02|0.17|0.01|100.83|24.70|41.05
-0.35|-0.12|10.28|-13.18|-62.73|-102.45|-0.02|0.18|0.01|100.84|24.70|40.04
-0.12|-0.04|10.43|-12.91|-62.73|-102.24|-0.02|0.18|0.01|100.84|24.80|40.04
-0.27|-0.16|10.08|-13.00|-62.82|-102.14|-0.02|0.18|0.01|100.84|24.70|40.21
-0.31|0.00|10.08|-12.91|-62.91|-102.65|-0.02|0.18|0.01|100.84|24.70|40.63
-0.31|0.00|10.36|-13.00|-62.64|-102.24|-0.02|0.18|0.01|100.84|24.70|40.04
-0.31|0.04|10.08|-13.18|-62.82|-102.45|-0.02|0.18|0.01|100.84|24.80|40.54
-0.24|-0.08|10.24|-13.09|-62.73|-102.65|-0.03|0.16|0.01|100.84|24.70|40.54
-0.16|-0.04|10.24|-12.91|-62.82|-102.35|-0.02|0.18|0.01|100.83|24.80|40.96
-0.31|-0.04|10.32|-13.09|-62.64|-102.35|-0.02|0.18|0.00|100.83|24.80|40.96
-0.24|0.00|10.59|-13.09|-62.82|-102.35|-0.02|0.18|0.01|100.84|24.80|40.13
-0.27|-0.04|10.12|-13.18|-62.82|-102.45|-0.03|0.17|0.01|100.84|24.70|40.04
-0.27|0.00|10.40|-13.18|-62.73|-102.45|-0.02|0.18|0.01|100.84|24.80|40.04
-0.24|-0.12|9.92|-13.09|-62.64|-102.14|-0.03|0.17|0.01|100.84|24.80|40.04
-0.24|0.00|10.40|-13.09|-62.64|-102.24|-0.03|0.16|0.01|100.83|24.80|40.88
-0.20|-0.12|10.28|-12.91|-62.73|-101.94|-0.03|0.18|0.01|100.84|24.80|40.63
-0.27|0.04|10.40|-12.82|-63.09|-102.14|-0.02|0.19|0.01|100.84|24.80|40.21
-0.27|0.04|10.55|-13.18|-62.64|-102.24|-0.02|0.18|0.01|100.84|24.80|40.21
